Epic,Epic #,Item,Description,Priority,Complexity,Source,Status
Quick Wins,1,Regenerate Plan guidance modal,"Replace confirm() with Dialog + textarea for guidance text fed to AI",High,Small,ENH #15,Pending
Quick Wins,1,Default meal skip setting,"Allow setting a default meal type to skip (e.g. always skip breakfast)",High,Small,SS 2026-03-27,Pending
Quick Wins,1,Meal name truncation,"Ensure full recipe names displayed on plan output page — never cut off",Medium,Small,SS 2026-03-27,Pending
Dynamic Meals,2,MealComponent Prisma model,"New model: { id householdId category:PROTEIN|VEGGIE|STARCH|SAUCE name prepMethods[] defaultCookTime? }",High,Medium,ENH B2,Pending
Dynamic Meals,2,isDynamic flag on PlannedMeal,"Distinguish dynamic meals from recipe-based meals in DB schema",High,Small,ENH B2,Pending
Dynamic Meals,2,CRUD API routes,"Create /api/settings/meal-components endpoints",High,Medium,ENH B2,Pending
Dynamic Meals,2,Management UI page,"/meal-components page with category tabs (Protein Veggie Starch Sauce)",High,Medium,ENH B2,Pending
Dynamic Meals,2,AI prompt update,"Include component library + instructions for composing dynamic meals",High,Medium,ENH B2,Pending
Dynamic Meals,2,Grocery generation for dynamic meals,"Look up each component's typical ingredients for grocery list",Medium,Medium,ENH B2,Pending
Dynamic Meals,2,Sidebar nav entry,"Add meal components link to navigation",Low,Small,ENH B2,Pending
Grocery List QoL,3,Manual grocery item addition,"Simple text input + section picker to add custom items to grocery list",High,Small,ENH B3,Pending
Grocery List QoL,3,"Hide permanently → PantryStaple","Button on grocery items that adds ingredient to PantryStaple with confirmation",High,Small,ENH B4,Pending
Grocery List QoL,3,Recurring grocery buys,"New model + settings page for items always added to grocery list; checkbox on generation",Medium,Medium,ENH B5,Pending
Planning Refinements,4,Named planning guidelines,"Save multiple guideline sets with names; select when generating (assess if presets cover this)",Medium,Medium,SS 2026-03-28,Pending
Planning Refinements,4,Max servings scaling,"Auto-halve recipes >8 servings for smaller households. Only 1 recipe exceeds 8 currently",Low,Small,ENH B1,Pending
Planning Refinements,4,Bulk-add missing cook times,"UI to identify and batch-update the 22 recipes missing time data",Medium,Small,ENH B9,Pending
Auth & Login,5,Magic link auth (NextAuth),"Replace mock auth with NextAuth magic link login for you and your wife",High,Medium,P1.0-K / MVP,Pending
Auth & Login,5,Approved email allowlist,"Simple config of 2 approved email addresses — no signup flow needed",Medium,Small,Interview,Pending
Auth & Login,5,Shared household data,"Both users see same recipes / plans / settings (already scoped by householdId)",Low,Small,P1.0-K,Pending
Google Calendar,6,Calendar event creation,"Create events for each planned meal with name / recipe link / meal type / servings",High,Medium,P1.1,Pending
Google Calendar,6,Configurable meal time events,"Default times (8am/12pm/6pm) with user-adjustable settings; option for all-day events",Medium,Small,P1.1,Pending
Google Calendar,6,Event update on plan edit,"When meal plan changes update/delete corresponding calendar events",Medium,Medium,P1.1,Pending
Google Calendar,6,Calendar selection,"User selects which Google Calendar to use; support shared calendars",Low,Small,P1.1,Pending
Google Calendar,6,Store event IDs,"Link PlannedMeal records to Google Calendar event IDs for sync",Medium,Small,P1.1,Pending
Error & Stability,7,Application-wide error audit,"Investigate all routes for errors and latency beyond known fixes",Medium,Medium,ENH #16,Pending
Someday / Maybe,8,Responsive web design,"Mobile-friendly layouts for all pages",—,Large,P2 / ENH B8,Parked
Someday / Maybe,8,Progressive Web App,"Offline support / installable / push notifications",—,Large,P2,Parked
Someday / Maybe,8,Recipe cooking timer,"Track actual cook times during meal prep (needs mobile/PWA)",—,Medium,ENH B7,Parked
Someday / Maybe,8,Web recipe search,"Search the web for new recipes via AI",—,Large,P2,Parked
Someday / Maybe,8,Ingredient-based discovery,"""What can I make with what I have?"" input + AI suggestions",—,Large,P2,Parked
Someday / Maybe,8,Calorie counting/estimation,"Nutritional info tracking per meal",—,Large,P2,Cut
Someday / Maybe,8,Daily/weekly nutritional summaries,"Aggregated nutrition data across plans",—,Large,P2,Cut
Someday / Maybe,8,Meal prep time blocking,"Block prep time on calendar before meal events",—,Medium,P2,Parked
Someday / Maybe,8,Reminder notifications,"Push/email reminders for meal prep",—,Medium,P2,Parked
Someday / Maybe,8,Bidirectional calendar sync,"Changes in Google Calendar reflected in app",—,Large,P2,Parked
Someday / Maybe,8,Shopping trip scheduling,"Calendar events for grocery runs",—,Small,P2,Parked
Someday / Maybe,8,Recipe scaling,"Auto-scale recipes up/down with unit conversions",—,Medium,P2,Parked
Someday / Maybe,8,Inventory/pantry tracking,"Track what's in the pantry; suggest meals for expiring ingredients",—,Large,P2,Parked
Someday / Maybe,8,AI-discovered recipe saving,"When AI finds recipes online allow saving to recipe library",—,Medium,P1.0-F.2,Cut
Someday / Maybe,8,Meal day-swap (drag),"Drag or swap meals between days (current: swap recipe only not slot)",—,Medium,P1.0-I.1,Cut
